county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
36015,"Chemung County, New York",C2130,"Elmira, NY MSA",CS236,"Elmira-Corning, NY CSA",Elmira,NY,MSA,Elmira,NY,"Elmira, NY"
36027,"Dutchess County, New York",C2888,"Kiryas Joel-Poughkeepsie-Newburgh, NY MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",Kiryas Joel-Poughkeepsie-Newburgh,NY,MSA,Kiryas Joel,NY,"Kiryas Joel, NY"
36029,"Erie County, New York",C1538,"Buffalo-Cheektowaga, NY MSA",CS160,"Buffalo-Cheektowaga-Olean, NY CSA",Buffalo-Cheektowaga,NY,MSA,Buffalo,NY,"Buffalo, NY"
36043,"Herkimer County, New York",C4654,"Utica-Rome, NY MSA",,,Utica-Rome,NY,MSA,Utica,NY,"Utica, NY"
36045,"Jefferson County, New York",C4806,"Watertown-Fort Drum, NY MSA",,,Watertown-Fort Drum,NY,MSA,Watertown,NY,"Watertown, NY"
36047,"Kings County, New York",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
36051,"Livingston County, New York",C4038,"Rochester, NY MSA",CS464,"Rochester-Batavia-Seneca Falls, NY CSA",Rochester,NY,MSA,Rochester,NY,"Rochester, NY"
36053,"Madison County, New York",C4506,"Syracuse, NY MSA",CS532,"Syracuse-Auburn, NY CSA",Syracuse,NY,MSA,Syracuse,NY,"Syracuse, NY"
36055,"Monroe County, New York",C4038,"Rochester, NY MSA",CS464,"Rochester-Batavia-Seneca Falls, NY CSA",Rochester,NY,MSA,Rochester,NY,"Rochester, NY"
36059,"Nassau County, New York",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
36061,"New York County, New York",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
36063,"Niagara County, New York",C1538,"Buffalo-Cheektowaga, NY MSA",CS160,"Buffalo-Cheektowaga-Olean, NY CSA",Buffalo-Cheektowaga,NY,MSA,Buffalo,NY,"Buffalo, NY"
