county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
22121,"west baton rouge parish, louisiana",C1294,"Baton Rouge, LA MSA",CS132,"Baton Rouge-Hammond, LA CSA",Baton Rouge,LA,MSA,Baton Rouge,LA,"Baton Rouge, LA"
22125,"west feliciana parish, louisiana",C1294,"Baton Rouge, LA MSA",CS132,"Baton Rouge-Hammond, LA CSA",Baton Rouge,LA,MSA,Baton Rouge,LA,"Baton Rouge, LA"
23001,"androscoggin, maine",C3034,"Lewiston-Auburn, ME MSA",CS438,"Portland-Lewiston-South Portland, ME CSA",Lewiston-Auburn,ME,MSA,Lewiston,ME,"Lewiston, ME"
23005,"cumberland, maine",C3886,"Portland-South Portland, ME MSA",CS438,"Portland-Lewiston-South Portland, ME CSA",Portland-South Portland,ME,MSA,Portland,ME,"Portland, ME"
23019,"penobscot, maine",C1262,"Bangor, ME MSA",,,Bangor,ME,MSA,Bangor,ME,"Bangor, ME"
23023,"sagadahoc, maine",C3886,"Portland-South Portland, ME MSA",CS438,"Portland-Lewiston-South Portland, ME CSA",Portland-South Portland,ME,MSA,Portland,ME,"Portland, ME"
23031,"york, maine",C3886,"Portland-South Portland, ME MSA",CS438,"Portland-Lewiston-South Portland, ME CSA",Portland-South Portland,ME,MSA,Portland,ME,"Portland, ME"
24003,"anne arundel, maryland",C1258,"Baltimore-Columbia-Towson, MD MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Baltimore-Columbia-Towson,MD,MSA,Baltimore,MD,"Baltimore, MD"
24005,"baltimore, maryland",C1258,"Baltimore-Columbia-Towson, MD MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Baltimore-Columbia-Towson,MD,MSA,Baltimore,MD,"Baltimore, MD"
24009,"calvert, maryland",C3050,"Lexington Park, MD MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Lexington Park,MD,MSA,Lexington Park,MD,"Lexington Park, MD"
24013,"carroll, maryland",C1258,"Baltimore-Columbia-Towson, MD MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Baltimore-Columbia-Towson,MD,MSA,Baltimore,MD,"Baltimore, MD"
24015,"cecil, maryland",C3798,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",CS428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,MSA,Philadelphia,PA,"Philadelphia, PA"
24017,"charles, maryland",C4790,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Washington-Arlington-Alexandria,DC-VA-MD-WV,MSA,Washington,DC,"Washington, DC"
24021,"frederick, maryland",C4790,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Washington-Arlington-Alexandria,DC-VA-MD-WV,MSA,Washington,DC,"Washington, DC"
24025,"harford, maryland",C1258,"Baltimore-Columbia-Towson, MD MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Baltimore-Columbia-Towson,MD,MSA,Baltimore,MD,"Baltimore, MD"
24027,"howard, maryland",C1258,"Baltimore-Columbia-Towson, MD MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Baltimore-Columbia-Towson,MD,MSA,Baltimore,MD,"Baltimore, MD"
24031,"montgomery, maryland",C4790,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Washington-Arlington-Alexandria,DC-VA-MD-WV,MSA,Washington,DC,"Washington, DC"
24033,"prince george's, maryland",C4790,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Washington-Arlington-Alexandria,DC-VA-MD-WV,MSA,Washington,DC,"Washington, DC"
24035,"queen anne's, maryland",C1258,"Baltimore-Columbia-Towson, MD MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Baltimore-Columbia-Towson,MD,MSA,Baltimore,MD,"Baltimore, MD"
24037,"st. mary's, maryland",C3050,"Lexington Park, MD MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Lexington Park,MD,MSA,Lexington Park,MD,"Lexington Park, MD"
24039,"somerset, maryland",C4154,"Salisbury, MD MSA",CS480,"Salisbury-Ocean Pines, MD CSA",Salisbury,MD,MSA,Salisbury,MD,"Salisbury, MD"
24043,"washington, maryland",C2518,"Hagerstown-Martinsburg, MD-WV MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Hagerstown-Martinsburg,MD-WV,MSA,Hagerstown,MD,"Hagerstown, MD"
24045,"wicomico, maryland",C4154,"Salisbury, MD MSA",CS480,"Salisbury-Ocean Pines, MD CSA",Salisbury,MD,MSA,Salisbury,MD,"Salisbury, MD"
24510,"baltimore city, maryland",C1258,"Baltimore-Columbia-Towson, MD MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",Baltimore-Columbia-Towson,MD,MSA,Baltimore,MD,"Baltimore, MD"
25001,"barnstable, massachusetts",C1270,"Barnstable Town, MA MSA",CS148,"Boston-Worcester-Providence, MA-RI-NH CSA",Barnstable Town,MA,MSA,Barnstable Town,MA,"Barnstable Town, MA"
25003,"berkshire, massachusetts",C3834,"Pittsfield, MA MSA",,,Pittsfield,MA,MSA,Pittsfield,MA,"Pittsfield, MA"
25005,"bristol, massachusetts",C3930,"Providence-Warwick, RI-MA MSA",CS148,"Boston-Worcester-Providence, MA-RI-NH CSA",Providence-Warwick,RI-MA,MSA,Providence,RI,"Providence, RI"
