fips,msa,category,cumulative biden rpp percent change,year,rpp
19100,dallas-fort worth-arlington,housing,1.6848087431694045,2008,103.325
19100,dallas-fort worth-arlington,utilities,6.639515631986657,2008,108.651
19100,dallas-fort worth-arlington,other services,-2.5544760649222926,2008,101.294
19140,dalton,all items,7.365999976288437,2008,89.204
19140,dalton,goods,0.026247821430827212,2008,94.011
19140,dalton,housing,26.707414829659314,2008,69.881
19140,dalton,utilities,2.2790493921804873,2008,84.037
19140,dalton,other services,4.5145421865310045,2008,95.034
19180,danville,all items,1.3891936210261362,2008,81.003
19180,danville,goods,-3.7716182007700723,2008,77.316
19180,danville,housing,7.045857850004681,2008,56.771
19180,danville,utilities,6.533859274113585,2008,86.304
19180,danville,other services,0.1226868418362177,2008,93.989
19300,daphne-fairhope-foley,all items,0.3271681776622314,2008,95.217
19300,daphne-fairhope-foley,goods,0.2670453341245738,2008,96.729
19300,daphne-fairhope-foley,housing,0.027923675287548428,2008,87.819
19300,daphne-fairhope-foley,utilities,4.903730809775954,2008,90.693
19300,daphne-fairhope-foley,other services,0.43105681453158506,2008,98.479
19340,davenport-moline-rock island,all items,-3.178787746742784,2008,94.88
19340,davenport-moline-rock island,goods,-2.550892708159532,2008,97.959
19340,davenport-moline-rock island,housing,-4.037371170013674,2008,75.133
19340,davenport-moline-rock island,utilities,6.572161091768831,2008,94.852
19340,davenport-moline-rock island,other services,-4.237138921399062,2008,99.587
19430,dayton-kettering,all items,-0.4433599494547987,2008,96.081
19430,dayton-kettering,goods,-1.7951369271605042,2008,98.594
19430,dayton-kettering,housing,-0.453657270131052,2008,80.162
19430,dayton-kettering,utilities,-2.247584832088333,2008,100.265
19430,dayton-kettering,other services,0.041010078226716054,2008,99.604
19460,decatur,all items,0.006883338878245469,2008,89.767
